ano;qtde_ocorrencias;crime;regiao;estado
2016;61;Latrocinio;nordeste;alagoas
2016;93;Latrocinio;norte;amazonas
2016;19;Latrocinio;norte;amapa
2016;211;Latrocinio;nordeste;bahia
2016;88;Latrocinio;nordeste;ceara
2016;42;Latrocinio;centro-oeste;distrito federal
2016;53;Latrocinio;sudeste;espirito santo
2016;186;Latrocinio;centro-oeste;goias
2016;113;Latrocinio;nordeste;maranhao
2016;116;Latrocinio;sudeste;minas gerais
2016;41;Latrocinio;centro-oeste;mato grosso do sul
2016;64;Latrocinio;centro-oeste;mato grosso
2016;224;Latrocinio;norte;para
2016;33;Latrocinio;nordeste;paraiba
2016;169;Latrocinio;nordeste;pernambuco
2016;49;Latrocinio;nordeste;piaui
2016;111;Latrocinio;sul;parana
2016;239;Latrocinio;sudeste;rio de janeiro
2016;48;Latrocinio;nordeste;rio grande do norte
2016;35;Latrocinio;norte;rondonia
2016;5;Latrocinio;norte;roraima
2016;167;Latrocinio;sul;rio grande do sul
2016;62;Latrocinio;sul;santa catarina
2016;49;Latrocinio;nordeste;sergipe
2016;361;Latrocinio;sudeste;sao paulo
2016;14;Latrocinio;norte;tocantins
2007;3;Lesao corporal seguida de morte;norte;acre
2007;13;Lesao corporal seguida de morte;nordeste;alagoas
2007;8;Lesao corporal seguida de morte;norte;amazonas
2007;11;Lesao corporal seguida de morte;norte;amapa
2007;89;Lesao corporal seguida de morte;nordeste;bahia
2007;66;Lesao corporal seguida de morte;nordeste;ceara
2007;9;Lesao corporal seguida de morte;centro-oeste;distrito federal
2007;0;Lesao corporal seguida de morte;sudeste;espirito santo
2007;23;Lesao corporal seguida de morte;centro-oeste;goias
2007;92;Lesao corporal seguida de morte;nordeste;maranhao
2007;0;Lesao corporal seguida de morte;sudeste;minas gerais
2007;7;Lesao corporal seguida de morte;centro-oeste;mato grosso do sul
2007;32;Lesao corporal seguida de morte;centro-oeste;mato grosso
2007;25;Lesao corporal seguida de morte;norte;para
2007;9;Lesao corporal seguida de morte;nordeste;paraiba
2007;1;Lesao corporal seguida de morte;nordeste;pernambuco
2007;6;Lesao corporal seguida de morte;nordeste;piaui
2007;0;Lesao corporal seguida de morte;sul;parana
2007;40;Lesao corporal seguida de morte;sudeste;rio de janeiro
2007;81;Lesao corporal seguida de morte;nordeste;rio grande do norte
2007;12;Lesao corporal seguida de morte;norte;rondonia
2007;3;Lesao corporal seguida de morte;norte;roraima
2007;98;Lesao corporal seguida de morte;sul;rio grande do sul
2007;50;Lesao corporal seguida de morte;sul;santa catarina
